alias	approved_symbol
JAK2	JAK2
ERBB2	ERBB2
HER2	ERBB2
HER-2	ERBB2
HER2/NEU	ERBB2
NEU	ERBB2
EGFR	EGFR
HER1	EGFR
ERBB1	EGFR
BRAF	BRAF
KRAS	KRAS
NRAS	NRAS
TP53	TP53
P53	TP53
BRCA1	BRCA1
BRCA2	BRCA2
ALK	ALK
ROS1	ROS1
MET	MET
RET	RET
PIK3CA	PIK3CA
PTEN	PTEN
MLH1	MLH1
MSH2	MSH2
MSH6	MSH6
PMS2	PMS2
KIT	KIT
PDGFRA	PDGFRA
IDH1	IDH1
IDH2	IDH2
FLT3	FLT3
NPM1	NPM1
CALR	CALR
MPL	MPL
CD274	CD274
PD-L1	CD274
PDL1	CD274
PDCD1	PDCD1
PD-1	PDCD1
ESR1	ESR1
ER	ESR1
PGR	PGR
PR	PGR
MKI67	MKI67
KI-67	MKI67
KI67	MKI67
